Year,Distance,Engine_capacity(cm3),km_year
2016,40000,2200,6666
2004,132000,1500,7333
2005,212000,4400,12470
2019,44000,1460,14666
2015,118000,2000,16857
2015,60000,4800,8571
2005,220000,1400,12941
2008,200000,2400,14285
2014,265000,1400,33125
2002,123456,1900,6172
2011,256900,1961,23354
2017,61700,2000,12340
1992,92341,1300,3078
2004,21543,2000,1196
2007,195000,2000,13000
2017,160000,1600,32000
1981,100000,2800,2439
2010,98000,1600,8166
2006,159000,1468,9937
2011,201500,1400,18318
2015,229000,2000,32714
2018,38000,2000,9500
2014,132000,1200,16500
2014,106500,2000,13312
2006,230000,2200,14375
2000,280000,2000,12727
2012,170000,1242,17000
2005,206000,1600,12117
2015,150000,1400,21428
2006,227000,1500,14187
2009,202000,1990,15538
2013,130000,2143,14444
2006,287000,2700,17937
2009,251000,1497,19307
2019,5000,1984,1666
1986,85237,1450,2367
2010,210000,1500,17500
2015,68000,2000,9714
2014,150000,2000,18750
2002,258036,2500,12901
2008,307000,2700,21928
2009,191200,2500,14707
2002,252000,2500,12600
2013,118000,1600,13111
2010,163198,1364,13599
2016,145000,1600,24166
2014,129000,2000,16125
1995,247000,2400,9148
2016,158200,1500,26366
2016,64500,1800,10750
2009,246478,1800,18959
2011,127000,1600,11545
2013,115000,1000,12777
2015,188000,2000,26857
2011,195448,1600,17768
2018,150000,1461,37500
2017,146000,1800,29200
2015,45000,1600,6428
2002,218000,1800,10900
2005,206000,2200,12117
2005,21236,1600,1249
2000,290000,1800,13181
1994,300000,2500,10714
2016,85000,2500,14166
2006,250000,1300,15625
2012,226000,1500,22600
2016,175000,1500,29166
2011,135000,1500,12272
2011,97000,1400,8818
2015,93000,1200,13285
2012,198104,1500,19810
2014,171000,2400,21375
2013,240000,1598,26666
2019,19800,2500,6600
2013,105000,1800,11666
2009,173000,1400,13307
1994,293000,2000,10464
2013,216000,2000,24000
2005,160000,1800,9411
2011,170000,1800,15454
2012,180000,2400,18000
2004,260000,2000,14444
2009,251853,2148,19373
2004,250000,3000,13888
2005,206000,1400,12117
2005,220699,2000,12982
2015,150000,1395,21428
2011,240000,2000,21818
2017,153000,1400,30600
2017,77000,1997,15400
2012,190000,1200,19000
2016,175000,1461,29166
2012,132848,2200,13284
2003,356000,2700,18736
2002,338000,1800,16900
1996,57037,1600,2193
2014,208352,1200,26044
2008,245000,1500,17500
2012,238500,1500,23850
2017,157600,1500,31520
2007,120000,1300,8000
1991,140000,1600,4516
2014,65000,2000,8125
2009,118000,1600,9076
2007,169000,3000,11266
2013,270000,1600,30000
1995,303799,1598,11251
2019,17000,1498,5666
2010,257110,1500,21425
2002,236000,3000,11800
2016,159413,2000,26568
2014,156321,1500,19540
2009,220000,2000,16923
2011,82000,2000,7454
2017,62734,2000,12546
2013,234000,3000,26000
2010,179000,1500,14916
2006,202000,1975,12625
2005,232000,1600,13647
2012,165000,2000,16500
2009,145000,1200,11153
2016,190580,1600,31763
2015,122000,1998,17428
2013,241008,2200,26778
2010,80000,1500,6666
2005,265000,1900,15588
2016,140000,1499,23333
2017,155081,1700,31016
2007,135000,2000,9000
2009,244239,2000,18787
2009,213000,2000,16384
2013,110000,1800,12222
2001,8852,1600,421
2017,76000,2000,15200
2011,91000,1500,8272
2016,90713,1800,15118
2017,71333,2500,14266
1988,100000,1900,2941
2020,10000,2000,5000
1995,400000,1800,14814
2017,75000,3000,15000
2011,178900,2000,16263
2010,159000,1461,13250
2012,166000,1491,16600
2008,242500,2459,17321
2015,187000,2200,26714
2009,280000,1400,21538
2008,210000,1800,15000
2016,100000,2000,16666
2001,330000,2500,15714
1990,111111,1800,3472
2016,106000,1500,17666
2012,150000,1800,15000
2020,35000,1968,17500
2007,180000,3600,12000
2014,72000,2359,9000
2016,12000,1000,2000
2007,247000,1400,16466
2000,317000,1600,14409
2011,189000,1248,17181
2011,260000,1300,23636
2008,230000,1800,16428
2005,240000,2500,14117
2014,189950,2200,23743
2009,193942,3000,14918
2011,200000,1500,18181
2007,18000,2200,1200
2011,171000,1500,15545
2016,187000,2000,31166
2007,270000,4600,18000
2020,4500,3000,2250
2010,170000,2000,14166
2006,229000,1800,14312
2015,145000,1599,20714
1999,242332,1900,10536
2004,291000,1600,16166
2011,204000,1500,18545
2010,99000,1598,8250
2017,115000,1800,23000
2008,200000,1900,14285
2003,113000,3000,5947
2004,111111,1111,6172
2012,158626,1400,15862
2015,17313,2000,2473
2011,179000,1400,16272
2015,65000,2700,9285
2004,329000,1500,18277
2003,271854,1900,14308
2014,130000,2400,16250
2017,102271,2500,20454
2014,73600,2979,9200
2019,10253,2200,3417
2007,205000,2000,13666
2016,40000,2200,6666
2007,200000,2362,13333
2010,180000,2000,15000
2002,375870,2500,18793
2015,67600,1800,9657
1995,300000,1900,11111
1993,300000,1600,10344
2014,150000,1300,18750
2014,180000,1800,22500
2006,220000,1400,13750
2015,162000,1600,23142
2009,147956,1390,11381
2016,164000,2000,27333
2012,193044,2000,19304
2013,206279,1800,22919
1995,289000,1998,10703
2013,102481,2000,11386
1996,450000,2000,17307
2017,34000,2000,6800
2010,198644,1500,16553
2017,20000,2000,4000
2005,230000,1600,13529
2011,210000,1800,19090
2016,30652,2000,5108
2014,113144,1400,14143
2015,167000,1500,23857
2008,125000,1400,8928
1999,216000,2400,9391
2012,170000,1400,17000
2008,214000,1400,15285
2004,290000,2771,16111
2008,200000,1989,14285
2017,5000,2200,1000
2007,351574,2200,23438
2012,168900,1200,16890
2016,97000,1967,16166
2011,175500,2000,15954
2017,18000,2000,3600
2014,127000,3000,15875
2008,189000,1600,13500
2017,124000,1600,24800
2011,206000,2000,18727
2018,33200,1600,8300
2007,241000,1500,16066
2010,175165,1500,14597
2007,297718,1900,19847
2013,120000,2000,13333
2013,146324,1200,16258
2013,238000,1500,26444
1997,216850,2200,8674
2013,96000,2000,10666
2018,100500,1998,25125
2004,330000,1400,18333
1995,340000,1800,12592
2016,169000,1500,28166
1993,340000,2000,11724
2005,180000,1400,10588
2019,31000,2000,10333
2005,220000,1500,12941
2001,280000,1400,13333
1992,300000,1300,10000
2006,300000,3000,18750
2011,202176,1500,18379
2010,148000,1200,12333
2014,44383,1200,5547
2006,215000,1400,13437
2015,170000,1800,24285
2005,211000,4400,12411
2014,123000,2000,15375
2017,111000,1500,22200
1996,92000,1600,3538
2010,300000,1599,25000
2007,236190,3000,15746
1996,330254,1896,12702
1997,224000,2000,8960
2000,206000,2400,9363
2017,141486,1600,28297
2011,166636,1332,15148
2014,45000,1400,5625
2013,175000,1400,19444
2008,143000,4500,10214
2018,2750,1500,687
2005,199000,1900,11705
2016,188000,1400,31333
2014,125000,2200,15625
2005,210000,1900,12352
2016,146000,2000,24333
2007,193000,1998,12866
2002,120000,3200,6000
2005,220000,2000,12941
2011,259825,1600,23620
2005,1994,1100,117
2012,148228,1200,14822
2011,291000,1820,26454
2012,45000,1600,4500
2018,158000,1582,39500
2006,187000,2500,11687
2012,167000,3000,16700
2012,171000,1400,17100
1994,248520,2000,8875
1996,111111,1700,4273
2016,130100,1500,21683
2015,150000,1400,21428
2014,173159,1999,21644
1988,880000,2000,25882
1994,15000,1600,535
2009,49000,2000,3769
2003,176000,1600,9263
2004,225000,1600,12500
2016,151000,1500,25166
2017,159000,1400,31800
2011,264000,1600,24000
2015,222659,1400,31808
2015,118000,1500,16857
2003,224922,2993,11838
2012,200000,2000,20000
2000,314500,3200,14295
2010,210000,1998,17500
2014,79370,1775,9921
2016,155000,3000,25833
2016,139000,1500,23166
1987,32000,1600,914
2006,350000,3000,21875
2002,370000,2700,18500
2012,154417,1400,15441
2006,287000,2700,17937
2018,22000,998,5500
2016,165674,1500,27612
2008,200000,1400,14285
2007,190000,2000,12666
2010,107000,1798,8916
2011,150000,1200,13636
2018,26000,1400,6500
2002,176109,4400,8805
2008,163000,1800,11642
1991,200000,1380,6451
2012,94000,2000,9400
2016,207000,2000,34500
2015,190000,1398,27142
2002,23000,1900,1150
2000,123456,1900,5611
2015,140253,1400,20036
2006,280000,1300,17500
2012,94000,2000,9400
1995,320000,2000,11851
2017,28200,1500,5640
2015,141687,1598,20241
2010,210000,1800,17500
1989,27000,2200,818
2000,23000,2000,1045
2016,167000,1500,27833
2005,600000,1400,35294
2003,161621,1200,8506
2008,225000,2000,16071
2012,214000,2200,21400
2004,111111,3600,6172
2015,147000,1490,21000
2006,290000,1900,18125
2008,78000,2000,5571
2017,70100,2494,14020
1999,400000,2000,17391
2017,240000,1600,48000
2005,11111,3500,653
1995,400000,1799,14814
2008,190533,1400,13609
2002,360000,3600,18000
1989,100000,2400,3030
2005,257098,2500,15123
2007,199599,2400,13306
2018,82000,1800,20500
2012,257000,2500,25700
2007,230000,1300,15333
2005,149000,1600,8764
2013,175000,2200,19444
2019,14041,2000,4680
2010,175000,1500,14583
2016,137000,1800,22833
2005,183000,2700,10764
2010,236802,1300,19733
2004,248000,2700,13777
2011,180500,1800,16409
2008,179000,1500,12785
2014,163000,2400,20375
1991,263000,1991,8483
2017,101000,2000,20200
2013,130000,2000,14444
2011,127827,1200,11620
2010,235000,3000,19583
2009,226000,1300,17384
2009,230000,1400,17692
1997,450250,2299,18010
2008,240000,1400,17142
2006,200465,1500,12529
1999,335680,1800,14594
2000,244554,3000,11116
1998,320000,1390,13333
1998,300000,2500,12500
2000,298300,1800,13559
2005,23548,1400,1385
2010,230000,2231,19166
2007,91000,1600,6066
1987,100000,1300,2857
2005,24200,2000,1423
2013,211939,2200,23548
2010,400000,1600,33333
2009,200000,2200,15384
2016,175000,2000,29166
2013,85000,1500,9444
2007,200000,2000,13333
2007,220000,1500,14666
2004,155555,1800,8641
2011,156000,1600,14181
2012,205000,1800,20500
1988,350666,2000,10313
2014,144000,1500,18000
2005,360000,2200,21176
2013,234000,2000,26000
2018,70000,1500,17500
1995,250000,1900,9259
2014,170000,1364,21250
2017,182000,1500,36400
2013,200000,2200,22222
2005,270000,1300,15882
1995,350000,1600,12962
1995,390000,1600,14444
2002,444444,2200,22222
2021,2500,1500,2500
2018,30000,2500,7500
2013,135000,1200,15000
2002,175000,1400,8750
2011,198000,1300,18000
2016,178010,1600,29668
2002,300000,2900,15000
2000,24000,2000,1090
2010,200000,2500,16666
1997,194349,2000,7773
2010,3030,1500,252
2009,172000,1400,13230
2018,45000,2000,11250
2000,445000,2500,20227
2008,172000,1500,12285
2006,266000,1500,16625
1978,164000,1600,3727
2020,1321,2000,660
2013,190187,1500,21131
2016,113000,1600,18833
2012,163652,1400,16365
1999,204000,1689,8869
2010,198000,2000,16500
2011,112000,1500,10181
2004,300000,1400,16666
2011,184714,1200,16792
2015,180000,1400,25714
2016,171300,1500,28550
1990,11111,1294,347
2005,300000,2000,17647
2014,114000,1400,14250
2018,122100,1500,30525
2016,166000,2400,27666
2010,176000,2200,14666
2021,800,2151,800
1997,245000,3000,9800
1995,600000,1998,22222
2015,198000,1500,28285
2006,116000,1400,7250
2008,165000,1400,11785
2010,215000,1998,17916
2013,91000,3500,10111
2008,150000,1500,10714
2009,230000,1400,17692
2016,115000,1600,19166
2012,94000,2000,9400
2007,202318,4800,13487
1999,161000,1700,7000
2009,204436,1400,15725
2011,202500,1400,18409
2010,200000,1400,16666
2010,171000,1300,14250
2006,232517,3500,14532
2012,109218,1400,10921
2020,5900,3000,2950
2007,215000,1400,14333
2003,334583,1900,17609
2015,109000,2000,15571
2005,123000,3100,7235
2011,200000,1200,18181
2016,139000,1500,23166
1996,500000,2000,19230
2015,140253,1400,20036
2011,172000,1200,15636
2016,144249,1500,24041
2010,220000,2000,18333
2001,260100,1400,12385
2014,98700,2500,12337
2006,184000,2700,11500
2016,109000,2000,18166
2005,280123,2500,16477
1999,180000,1900,7826
2020,5000,2199,2500
2015,165000,1200,23571
2018,72000,898,18000
2006,199000,2000,12437
2009,250000,2200,19230
2013,169000,2000,18777
2003,180000,2000,9473
2013,151638,1500,16848
2018,33000,1500,8250
2014,95500,2200,11937
2021,4226,2997,4226
2008,240000,1600,17142
2012,230000,1500,23000
1989,125000,1300,3787
2018,148000,1500,37000
2009,160000,1400,12307
2007,189000,3000,12600
2011,100145,1229,9104
2004,300000,1200,16666
2007,356000,2200,23733
2010,196800,1200,16400
2013,130000,1400,14444
2004,277870,1400,15437
2007,190000,1400,12666
2014,160000,2000,20000
2020,15735,2998,7867
2011,192000,1400,17454
1996,310000,2000,11923
2010,200000,1300,16666
2016,119443,2000,19907
1991,212492,1300,6854
1989,315062,1798,9547
2005,274000,1900,16117
2002,360000,1900,18000
2015,50000,3500,7142
2018,49125,2000,12281
2004,239529,1800,13307
2012,166000,1798,16600
2013,178000,1500,19777
2011,199000,1400,18090
2010,187000,1600,15583
2006,178000,1984,11125
2014,195653,2200,24456
2004,348000,1800,19333
1998,198000,2000,8250
2012,194000,1800,19400
2014,13000,1200,1625
2011,209000,1800,19000
1996,123456,2500,4748
2009,20000,4400,1538
2008,272000,2000,19428
2013,180000,2500,20000
2017,159000,1500,31800
2008,186000,1400,13285
2005,253611,3000,14918
2006,200000,1600,12500
1996,284000,1800,10923
2012,89000,3000,8900
2001,249000,2000,11857
2002,290000,1600,14500
2004,240000,1600,13333
2010,290000,2200,24166
2010,33500,1600,2791
2012,111520,1400,11152
2008,154000,1200,11000
2008,190000,1500,13571
2016,186000,2000,31000
2020,2400,1998,1200
1995,5000,2400,185
2010,176000,1600,14666
1995,196838,1800,7290
1996,337500,1900,12980
2004,250000,2000,13888
2017,70410,1798,14082
2001,252000,1600,12000
2016,185000,1500,30833
2018,57000,1500,14250
2012,268000,1600,26800
2017,134152,2000,26830
2007,223570,1896,14904
2005,220072,2000,12945
2007,233000,2700,15533
2013,171159,1400,19017
2014,192000,1500,24000
1991,250400,1468,8077
2013,240000,2000,26666
2016,179000,1600,29833
1981,24003,2400,585
2011,172000,1461,15636
2010,195000,1200,16250
2016,119000,2967,19833
1995,125000,1900,4629
2005,202000,1900,11882
2018,26932,2000,6733
2006,190000,1400,11875
2000,226000,1800,10272
2008,190000,1300,13571
2008,206145,1390,14724
1991,283868,1900,9157
2006,270000,2000,16875
2006,245000,2000,15312
2016,124000,1400,20666
2005,190000,1800,11176
2008,173000,2993,12357
2006,111111,1400,6944
2004,10000,1500,555
2000,350000,2200,15909
2008,166000,2198,11857
2011,164101,1500,14918
2013,246214,1600,27357
2015,160926,1400,22989
2004,300000,2700,16666
2008,99800,1200,7128
2008,250000,1297,17857
1996,250000,2000,9615
2017,172000,1600,34400
2016,140000,1500,23333
2004,294140,2700,16341
2015,70000,1400,10000
2014,132800,1500,16600
2020,22000,2199,11000
2006,2000,2000,125
2006,231000,1400,14437
2006,190000,1600,11875
2014,136000,3000,17000
2018,59000,1500,14750
2013,120380,1600,13375
2009,234555,1400,18042
2017,145000,2000,29000
2008,245000,1400,17500
2012,230008,3000,23000
2007,250000,1300,16666
2015,240000,1461,34285
2013,185000,1200,20555
1992,180900,1799,6030
2018,148000,2200,37000
2003,325000,3000,17105
2005,190533,1600,11207
2011,180000,3000,16363
2009,273150,2200,21011
2015,151000,1400,21571
2008,180000,2000,12857
2012,251412,3000,25141
2017,87000,2000,17400
2012,185000,1500,18500
2005,19999,1600,1176
2017,104337,1500,20867
2016,173000,1600,28833
2014,146000,1422,18250
2003,210000,1400,11052
2014,175000,1500,21875
2001,350000,2000,16666
2012,210000,1500,21000
2018,83553,1600,20888
2016,102000,2500,17000
2012,175000,1000,17500
2017,63000,1500,12600
2009,200000,1500,15384
2014,163000,1461,20375
1995,450000,2000,16666
2007,95000,1600,6333
2012,107000,1500,10700
2004,230000,1200,12777
2007,222111,1400,14807
2010,245000,1800,20416
1985,7777,1300,210
2006,199000,1600,12437
2002,412000,2500,20600
1999,270000,1400,11739
1995,431134,2500,15967
1997,88380,1600,3535
2013,302000,1500,33555
2013,182000,3000,20222
2010,200000,1300,16666
2016,90713,1800,15118
2006,125000,1600,7812
2013,180000,1400,20000
2008,280000,1500,20000
2008,90000,1000,6428
2009,153000,1500,11769
2016,85682,2500,14280
2000,212684,1800,9667
2007,159000,1400,10600
2008,256854,3200,18346
2014,50413,1200,6301
2006,350000,1900,21875
2007,260000,1400,17333
2020,30000,1600,15000
2005,300000,1400,17647
2009,152750,1997,11750
1999,190000,2351,8260
2005,150000,2500,8823
2014,96000,1800,12000
2015,42762,2200,6108
2013,171000,2500,19000
2005,200000,3000,11764
2015,73200,3000,10457
2008,224000,3500,16000
2009,125000,3000,9615
2016,80000,2000,13333
1996,371258,3000,14279
1993,320000,1800,11034
1973,31000,1500,632
1998,320000,2500,13333
1995,280000,2000,10370
2016,199000,1400,33166
2000,232700,2171,10577
2008,245000,1800,17500
2007,134000,2200,8933
2006,165000,1800,10312
2011,240000,2400,21818
1999,123000,2000,5347
2018,70000,1500,17500
2004,265000,2200,14722
2009,200000,1400,15384
2004,255000,1600,14166
2010,189000,1800,15750
1996,288000,1800,11076
2006,171000,1800,10687
2010,190000,1600,15833
2015,159000,2494,22714
2010,111111,2998,9259
2005,112000,2000,6588
2002,235000,1900,11750
2000,317000,1600,14409
2009,165000,1600,12692
2012,175660,2000,17566
2017,97000,1798,19400
2015,62000,1200,8857
2021,300,2000,300
2010,230000,1996,19166
2005,317000,3000,18647
2008,165000,1400,11785
2006,185000,2000,11562
1995,412000,1800,15259
2015,50583,2000,7226
2007,187000,1500,12466
2018,33000,1800,8250
2012,129000,1500,12900
2015,170389,1400,24341
2007,145000,2000,9666
1996,435928,1600,16766
2012,150000,2500,15000
2011,156000,1461,14181
2011,89000,1200,8090
2005,316000,1900,18588
2013,183780,2000,20420
2005,185546,2200,10914
2013,144453,2000,16050
2004,238000,1499,13222
2012,170000,1500,17000
2014,193000,1500,24125
2007,240000,2188,16000
2005,125000,1500,7352
2000,205000,1600,9318
2017,100000,2000,20000
2005,232000,1600,13647
2016,204006,1400,34001
2006,161000,1400,10062
1999,153000,1600,6652
2011,215000,1700,19545
2014,127844,1800,15980
2001,25846,3000,1230
2006,220000,2500,13750
2004,380000,2000,21111
2006,280000,1600,17500
2009,220000,2200,16923
2011,154349,1400,14031
1991,100000,1600,3225
2013,108000,1590,12000
1996,86000,1600,3307
2017,95000,1400,19000
2013,1111,1600,123
2005,319000,1800,18764
1997,305000,1800,12200
2013,196600,1500,21844
2013,198175,2200,22019
2007,193000,1988,12866
2003,250000,2000,13157
2006,89000,1300,5562
2010,204500,1461,17041
2008,160000,2400,11428
1993,297303,1899,10251
2011,151000,1400,13727
2017,152680,1500,30536
2011,130000,1460,11818
2007,300000,3000,20000
2005,188000,1400,11058
2012,142000,1197,14200
2013,16500,1400,1833
2008,350538,1998,25038
2005,136000,1400,8000
2005,2003,1400,117
2011,201000,1400,18272
2014,141000,3000,17625
2015,245000,2200,35000
2010,225000,1500,18750
2001,390000,2500,18571
2002,250000,1900,12500
2017,119000,1800,23800
2015,110000,2000,15714
2015,56892,2500,8127
1986,190765,1300,5299
1997,330000,2500,13200
2005,103000,800,6058
2016,108700,1500,18116
2009,270000,1500,20769
2012,230000,1800,23000
2014,87100,1200,10887
2014,121830,2987,15228
2010,142000,1800,11833
2017,145000,1500,29000
2014,89000,1000,11125
2013,177777,1996,19753
2002,176100,4400,8805
1999,170000,1400,7391
2013,178000,2000,19777
2005,178000,1500,10470
1997,214000,2500,8560
2000,250000,2400,11363
2006,320000,1500,20000
2014,196000,2500,24500
2006,135600,1400,8475
2014,230000,2200,28750
2006,125000,2500,7812
2008,188000,2000,13428
2010,178000,1364,14833
2009,178821,1400,13755
2004,280000,2500,15555
2011,16000,2200,1454
2015,74000,2000,10571
1999,123600,1600,5373
2017,181938,2967,36387
2013,181000,1400,20111
2007,230384,3000,15358
2006,270000,2300,16875
2009,246000,1600,18923
2005,370288,1500,21781
2007,229867,1600,15324
2003,21000,1000,1105
2000,331200,1997,15054
2006,248000,1998,15500
2016,223000,2000,37166
1999,395000,2000,17173
2003,232000,1200,12210
2017,97000,1700,19400
2001,250000,2200,11904
2015,35000,1200,5000
2009,187000,1500,14384
2010,210000,3000,17500
2002,190000,1500,9500
2014,230000,2000,28750
2016,50000,1950,8333
2010,184000,1200,15333
2018,95000,1400,23750
1993,100000,1100,3448
2005,222222,1400,13071
2016,102151,2500,17025
2013,150000,1500,16666
2006,230000,2000,14375
2003,334000,2500,17578
2012,137012,1200,13701
2016,246792,2200,41132
1999,300000,1900,13043
2012,146000,3000,14600
2008,160000,800,11428
2007,193123,2200,12874
2016,87000,2000,14500
2002,265000,2000,13250
2010,210000,2200,17500
2016,145000,1500,24166
2007,216000,2000,14400
2008,128000,2000,9142
2018,57000,1500,14250
2011,199000,1400,18090
2004,209000,1500,11611
2016,87719,2500,14619
2008,125000,1400,8928
2010,150000,1400,12500
2015,156000,1500,22285
2003,360595,1796,18978
2011,153000,1300,13909
2000,145000,2000,6590
2005,88000,1400,5176
2010,25600,2000,2133
2017,90000,2200,18000
2006,250000,1500,15625
2015,160000,1994,22857
2012,430000,1400,43000
2014,105800,2200,13225
2013,99745,2000,11082
2013,196186,1300,21798
2006,235628,3000,14726
2004,114000,2300,6333
2002,205900,2200,10295
2017,37000,1600,7400
2003,271854,1900,14308
2008,282000,1200,20142
2016,163000,2000,27166
2006,218121,1600,13632
2011,208000,1798,18909
2016,75000,2500,12500
2010,235454,1600,19621
2008,199116,1400,14222
2017,61000,1600,12200
2001,300000,1900,14285
2005,250000,1400,14705
2005,271000,2179,15941
2007,155000,997,10333
2011,139000,1600,12636
1995,292000,1600,10814
2001,297000,2200,14142
2018,28000,2000,7000
2007,290000,1500,19333
2005,400000,1600,23529
2009,223868,2200,17220
2001,307000,1800,14619
2003,242854,1600,12781
1995,315000,2200,11666
2011,147000,3000,13363
2008,174000,2800,12428
2018,94500,1800,23625
2013,89000,1600,9888
2007,136000,2200,9066
2010,251000,1500,20916
2007,300000,2000,20000
2013,78000,2000,8666
2012,130000,1798,13000
2010,147000,1295,12250
2011,172500,1500,15681
2007,450000,1600,30000
1985,237000,2300,6405
2013,170000,2000,18888
2007,190000,1400,12666
2005,165000,1600,9705
2007,2000,2000,133
2016,190564,2500,31760
2002,111111,2500,5555
1995,236424,1600,8756
2004,380000,2200,21111
2009,123000,1400,9461
2007,261000,1500,17400
2006,190000,2200,11875
2020,6900,1500,3450
2016,49000,2000,8166
2015,120000,2000,17142
2009,185300,1400,14253
2011,198000,1400,18000
1993,340000,2000,11724
2018,45000,2000,11250
2013,110000,2000,12222
2007,178000,1500,11866
2010,162000,1600,13500
2011,154000,1590,14000
1994,50000,1900,1785
2008,270000,1400,19285
2017,182000,2967,36400
2009,180000,2500,13846
2016,167000,1500,27833
1991,254638,1600,8214
2020,3000,1998,1500
2005,111111,2500,6535
2018,33000,1800,8250
2015,132835,2000,18976
2011,180000,1600,16363
2010,180000,1400,15000
2011,200000,2000,18181
2016,182208,2000,30368
2005,250000,2200,14705
2009,151000,1364,11615
1991,250000,1600,8064
2018,46000,2000,11500
2003,365000,3000,19210
2012,161500,1998,16150
1993,380000,1800,13103
2008,230000,1500,16428
2011,220000,1500,20000
2001,22222,2000,1058
2009,167000,2000,12846
2000,334000,1900,15181
2006,2558,4400,159
2007,230000,2200,15333
1995,267000,2000,9888
2013,82827,2000,9203
2014,165500,1461,20687
2010,199462,2200,16621
2013,169851,2000,18872
2019,45000,1460,15000
2006,347000,2200,21687
