Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,mileage,Engine_class
BMW,7 Series,1998,Sedan,350000,3500,Petrol,Manual,3990,24,14583,medium,Large-capacity
Mercedes,E Class,2012,Sedan,150000,2500,Diesel,Automatic,14490,10,15000,medium,Mid-capacity
Audi,A7,2018,Hatchback,31091,3000,Petrol,Automatic,35500,4,7772,low,Mid-capacity
Renault,Clio,2006,Hatchback,280000,1461,Diesel,Manual,4299,16,17500,medium,Low-capacity
Citroen,C3,2012,Hatchback,145000,1400,Diesel,Automatic,6899,10,14500,medium,Low-capacity
Audi,A6,1997,Sedan,29800,2400,Metan/Propan,Manual,2750,25,1192,low,Mid-capacity
Ford,Fusion,2013,Sedan,178000,2000,Hybrid,Automatic,9290,9,19777,high,Mid-capacity
Toyota,Prius,2014,Sedan,140000,800,Plug-in Hybrid,Automatic,11200,8,17500,medium,Microlitre
Volkswagen,Vento,1993,Sedan,300000,1800,Petrol,Manual,1700,29,10344,medium,Mid-capacity
Renault,Captur,2017,Crossover,129000,1500,Diesel,Automatic,10990,5,25800,high,Low-capacity
Lexus,CT Series,2012,Hatchback,193000,1800,Hybrid,Automatic,10950,10,19300,high,Mid-capacity
Volvo,XC60,2010,SUV,202000,2400,Diesel,Automatic,14750,12,16833,medium,Mid-capacity
Dacia,Dokker,2013,Minivan,209000,1500,Diesel,Manual,5750,9,23222,high,Low-capacity
Hyundai,i30,2010,Hatchback,145000,1400,Petrol,Manual,4750,12,12083,medium,Low-capacity
Lexus,CT Series,2012,Hatchback,194000,1800,Hybrid,Automatic,9999,10,19400,high,Mid-capacity
Volvo,XC90,2008,SUV,249000,2400,Diesel,Manual,11500,14,17785,medium,Mid-capacity
Hyundai,Getz,2008,Hatchback,142000,1100,Petrol,Manual,3499,14,10142,low,Low-capacity
Mercedes,A Class,2005,Hatchback,260000,1500,Metan/Propan,Automatic,4750,17,15294,medium,Low-capacity
Mercedes,C Class,2002,Coupe,240000,2300,Petrol,Manual,3499,20,12000,medium,Mid-capacity
Jaguar,Xf,2012,Sedan,120000,2200,Diesel,Automatic,15999,10,12000,medium,Mid-capacity
Mercedes,E Class,2010,Sedan,182000,1800,Petrol,Automatic,11750,12,15166,medium,Mid-capacity
Skoda,Octavia,2005,Universal,300000,2000,Petrol,Manual,4999,17,17647,medium,Mid-capacity
Opel,Astra,2008,Universal,310000,1300,Diesel,Manual,4850,14,22142,high,Low-capacity
Skoda,Superb,2014,Sedan,186000,1600,Diesel,Automatic,12300,8,23250,high,Low-capacity
Volkswagen,Amarok,2011,Pickup,150000,2000,Diesel,Manual,12800,11,13636,medium,Mid-capacity
Mercedes,Vito,2000,Minivan,258000,2200,Diesel,Automatic,2999,22,11727,medium,Mid-capacity
Nissan,Qashqai,2016,Crossover,151000,1500,Diesel,Manual,13890,6,25166,high,Low-capacity
BMW,5 Series,2018,Sedan,46000,2000,Petrol,Automatic,27650,4,11500,medium,Mid-capacity
Renault,Megane,2010,Universal,257110,1500,Diesel,Manual,4999,12,21425,high,Low-capacity
Ford,Mondeo,2016,Sedan,167000,1500,Diesel,Manual,12990,6,27833,high,Low-capacity
Toyota,C-HR,2018,Crossover,114000,1800,Hybrid,Automatic,16750,4,28500,high,Mid-capacity
Nissan,Qashqai,2017,Crossover,157600,1500,Diesel,Manual,11990,5,31520,high,Low-capacity
Toyota,Auris,2014,Universal,190000,1800,Hybrid,Automatic,8990,8,23750,high,Mid-capacity
Toyota,C-HR,2017,Crossover,119000,1800,Hybrid,Automatic,18790,5,23800,high,Mid-capacity
Peugeot,3008,2018,Crossover,145000,1500,Diesel,Automatic,16790,4,36250,high,Low-capacity
Renault,Kadjar,2016,Crossover,150200,1500,Diesel,Automatic,13450,6,25033,high,Low-capacity
Lexus,NX Series,2015,SUV,149000,2500,Hybrid,Automatic,21750,7,21285,high,Mid-capacity
Volkswagen,Passat,2006,Sedan,216000,2000,Petrol,Automatic,5350,16,13500,medium,Mid-capacity
Infiniti,Q Series,2016,Crossover,88000,1500,Diesel,Automatic,15790,6,14666,medium,Low-capacity
Volkswagen,Passat,2007,Universal,320000,1600,Metan/Propan,Manual,5999,15,21333,high,Low-capacity
Hyundai,Matrix,2006,Hatchback,298000,1500,Diesel,Manual,2999,16,18625,medium,Low-capacity
Honda,Civic,2017,Hatchback,27138,1500,Petrol,Automatic,13300,5,5427,low,Low-capacity
Renault,Kadjar,2016,Crossover,140000,1500,Diesel,Automatic,12400,6,23333,high,Low-capacity
Skoda,Octavia,2012,Sedan,166000,1600,Diesel,Automatic,8990,10,16600,medium,Low-capacity
Skoda,Superb,2009,Sedan,223000,2000,Diesel,Automatic,8990,13,17153,medium,Mid-capacity
Toyota,Corolla,2006,Universal,198563,1400,Diesel,Automatic,5350,16,12410,medium,Low-capacity
Volvo,S80,2000,Sedan,202698,2800,Petrol,Automatic,3999,22,9213,low,Mid-capacity
Land Rover,Freelander,2000,SUV,230000,2000,Diesel,Manual,2750,22,10454,medium,Mid-capacity
BMW,5 Series,2018,Sedan,82000,2000,Diesel,Automatic,34000,4,20500,high,Mid-capacity
Volkswagen,Passat,1995,Universal,250369,1800,Petrol,Manual,2700,27,9272,low,Mid-capacity
KIA,Magentis,2005,Sedan,250632,2000,Metan/Propan,Manual,2690,17,14743,medium,Mid-capacity
Seat,Inca,1998,Combi,300000,1900,Diesel,Manual,1450,24,12500,medium,Mid-capacity
Skoda,Fabia,2012,Minivan,165500,1200,Diesel,Manual,5100,10,16550,medium,Low-capacity
Mitsubishi,Outlander,2011,SUV,248000,2000,Petrol,Automatic,9900,11,22545,high,Mid-capacity
Ford,Focus,2016,Universal,170000,1499,Diesel,Manual,8890,6,28333,high,Low-capacity
Renault,Megane,2008,Universal,245000,1500,Diesel,Manual,3600,14,17500,medium,Low-capacity
Honda,Civic,1999,Universal,290000,1500,Petrol,Manual,1800,23,12608,medium,Low-capacity
Renault,Clio Symbol,2007,Sedan,211000,1400,Petrol,Manual,2900,15,14066,medium,Low-capacity
Audi,A4,2012,Sedan,166700,2000,Petrol,Automatic,10200,10,16670,medium,Mid-capacity
Audi,A3 e-tron,2016,Hatchback,145000,1400,Electric,Automatic,16450,6,24166,high,Low-capacity
Lexus,CT Series,2014,Sedan,81700,1800,Hybrid,Automatic,12450,8,10212,low,Mid-capacity
Toyota,Auris,2013,Universal,142865,1400,Diesel,Manual,8700,9,15873,medium,Low-capacity
Vaz,2107,2007,Sedan,135865,1400,Petrol,Manual,1500,15,9057,low,Low-capacity
Renault,Grand Scenic,2013,Minivan,181000,1500,Diesel,Automatic,7000,9,20111,high,Low-capacity
Skoda,Octavia,2014,Universal,155000,1400,Petrol,Automatic,9700,8,19375,high,Low-capacity
Skoda,Octavia,2015,Sedan,164000,1600,Diesel,Automatic,12750,7,23428,high,Low-capacity
Volkswagen,Scirocco,2010,Coupe,150589,1400,Petrol,Manual,7999,12,12549,medium,Low-capacity
Ford,Focus,2015,Universal,152523,1500,Diesel,Automatic,9300,7,21789,high,Low-capacity
Opel,Astra,2007,Universal,190000,1300,Diesel,Manual,4499,15,12666,medium,Low-capacity
Toyota,Avensis,2014,Universal,165000,2000,Diesel,Manual,15600,8,20625,high,Mid-capacity
BMW,7 Series,2006,Sedan,260000,3000,Diesel,Automatic,11000,16,16250,medium,Mid-capacity
Toyota,Auris,2011,Hatchback,182251,1798,Hybrid,Automatic,8200,11,16568,medium,Low-capacity
Fiat,Grande Punto,2008,Hatchback,185000,1300,Diesel,Automatic,3600,14,13214,medium,Low-capacity
Chevrolet,Aveo,2012,Hatchback,187000,1300,Diesel,Manual,4600,10,18700,medium,Low-capacity
Renault,Megane,2005,Sedan,190000,1500,Diesel,Manual,3200,17,11176,medium,Low-capacity
Suzuki,Grand Vitara,2005,SUV,400000,2700,Petrol,Automatic,5500,17,23529,high,Mid-capacity
Volkswagen,Golf,2010,Hatchback,225550,2000,Petrol,Automatic,9650,12,18795,medium,Mid-capacity
Daewoo,Kalos,2003,Hatchback,220000,1400,Petrol,Manual,2000,19,11578,medium,Low-capacity
Nissan,Almera,2003,Hatchback,90000,1500,Petrol,Manual,1000,19,4736,low,Low-capacity
Renault,Grand Scenic,2013,Minivan,165000,1500,Diesel,Manual,7500,9,18333,medium,Low-capacity
Honda,Clarity,2018,Hatchback,36000,1500,Plug-in Hybrid,Automatic,18499,4,9000,low,Low-capacity
Toyota,Verso,2015,Minivan,102000,1800,Petrol,Automatic,12500,7,14571,medium,Mid-capacity
BMW,5 Series,2004,Sedan,2899,2500,Petrol,Manual,6100,18,161,low,Mid-capacity
Mitsubishi,Outlander,2003,Crossover,208367,2000,Petrol,Manual,4600,19,10966,medium,Mid-capacity
Volkswagen,Touran,2011,Minivan,168000,1400,Petrol,Manual,7999,11,15272,medium,Low-capacity
Toyota,Prius Prime,2019,Hatchback,2500,1800,Plug-in Hybrid,Automatic,18999,3,833,low,Mid-capacity
Volkswagen,Transporter,2004,Microvan,190000,1896,Diesel,Manual,6300,18,10555,medium,Mid-capacity
Skoda,Octavia,2011,Universal,210000,1400,Petrol,Manual,6400,11,19090,high,Low-capacity
Lincoln,MKZ,2014,Sedan,160000,2000,Hybrid,Automatic,12200,8,20000,high,Mid-capacity
Renault,Scenic,2004,Universal,180000,1500,Diesel,Manual,3300,18,10000,low,Low-capacity
Mercedes,Series (W123),1984,Universal,100000,2400,Diesel,Manual,1000,38,2631,low,Mid-capacity
Toyota,Land Cruiser Prado,2007,Crossover,202000,2700,Metan/Propan,Automatic,14600,15,13466,medium,Mid-capacity
Volkswagen,Polo,2017,Hatchback,170000,1422,Diesel,Manual,8200,5,34000,high,Low-capacity
Volkswagen,Jetta,2013,Sedan,198000,1400,Hybrid,Automatic,8400,9,22000,high,Low-capacity
KIA,Rio,2004,Universal,183454,1300,Petrol,Manual,2500,18,10191,low,Low-capacity
BMW,X6,2013,Crossover,104000,2979,Petrol,Automatic,30900,9,11555,medium,Mid-capacity
Toyota,Corolla,2006,Hatchback,119000,1600,Petrol,Automatic,5700,16,7437,low,Low-capacity
Opel,Corsa,2007,Hatchback,283000,1300,Diesel,Manual,3499,15,18866,medium,Low-capacity
Toyota,Auris,2017,Hatchback,146000,1800,Hybrid,Automatic,11900,5,29200,high,Mid-capacity
Nissan,Qashqai,2009,Crossover,202000,1990,Petrol,Manual,7100,13,15538,medium,Mid-capacity
Ford,C-Max,2016,Microvan,141000,1500,Diesel,Manual,9000,6,23500,high,Low-capacity
Renault,Megane,2013,Minivan,220000,1500,Diesel,Manual,5000,9,24444,high,Low-capacity
Renault,Grand Scenic,2008,Hatchback,232012,1500,Diesel,Manual,3700,14,16572,medium,Low-capacity
KIA,Sorento,2018,SUV,38999,2000,Diesel,Automatic,24800,4,9749,low,Mid-capacity
Nissan,Qashqai,2014,Crossover,219000,1500,Diesel,Manual,10999,8,27375,high,Low-capacity
Land Rover,Freelander,2007,SUV,300000,2200,Diesel,Automatic,9200,15,20000,high,Mid-capacity
Toyota,Prius,2011,Hatchback,121000,1800,Hybrid,Automatic,7900,11,11000,medium,Mid-capacity
Hyundai,Matrix,2004,Universal,250000,1500,Diesel,Manual,4000,18,13888,medium,Low-capacity
Toyota,Auris,2014,Universal,200000,1390,Diesel,Manual,8600,8,25000,high,Low-capacity
Audi,Q5,2013,SUV,143000,2000,Petrol,Automatic,17850,9,15888,medium,Mid-capacity
Volkswagen,Caddy,2013,Universal,174000,2000,Diesel,Manual,9650,9,19333,high,Mid-capacity
Toyota,Prius,2011,Hatchback,121000,1800,Hybrid,Automatic,7900,11,11000,medium,Mid-capacity
Hyundai,Matrix,2004,Universal,250000,1500,Diesel,Manual,4000,18,13888,medium,Low-capacity
Toyota,Auris,2014,Universal,200000,1390,Diesel,Manual,8600,8,25000,high,Low-capacity
Audi,Q5,2013,SUV,143000,2000,Petrol,Automatic,17850,9,15888,medium,Mid-capacity
Volkswagen,Caddy,2013,Universal,174000,2000,Diesel,Manual,9650,9,19333,high,Mid-capacity
Volkswagen,Golf,2009,Universal,200000,1400,Petrol,Manual,4800,13,15384,medium,Low-capacity
Nissan,Qashqai,2007,Crossover,137660,1500,Diesel,Manual,6600,15,9177,low,Low-capacity
Opel,Astra,2011,Universal,213548,1300,Diesel,Manual,5650,11,19413,high,Low-capacity
Toyota,Yaris,2006,Sedan,193096,1500,Petrol,Manual,3700,16,12068,medium,Low-capacity
Opel,Calibra,1992,Coupe,400000,2000,Metan/Propan,Manual,1600,30,13333,medium,Mid-capacity
Renault,Kadjar,2016,Crossover,150425,1500,Diesel,Automatic,14990,6,25070,high,Low-capacity
Ford,Fusion,2018,Sedan,105000,2000,Hybrid,Automatic,15000,4,26250,high,Mid-capacity
Volkswagen,Passat,2000,Combi,191000,1800,Metan/Propan,Automatic,3850,22,8681,low,Mid-capacity
Renault,Clio,1998,Hatchback,129448,1600,Petrol,Automatic,2399,24,5393,low,Low-capacity
Renault,Grand Espace,2015,Minivan,168000,1600,Diesel,Automatic,18650,7,24000,high,Low-capacity
BMW,3 Series,1994,Sedan,180000,1600,Petrol,Manual,2400,28,6428,low,Low-capacity
Skoda,Yeti,2015,Crossover,150000,1400,Petrol,Automatic,11000,7,21428,high,Low-capacity
Land Rover,Discovery,2007,SUV,223000,2700,Diesel,Automatic,15000,15,14866,medium,Mid-capacity
Volkswagen,Sharan,2011,Universal,141000,1400,Petrol,Manual,9800,11,12818,medium,Low-capacity
Volkswagen,Passat,2003,Sedan,250000,1922,Diesel,Automatic,4600,19,13157,medium,Mid-capacity
Mercedes,E Class,2006,Sedan,250000,2200,Diesel,Automatic,9999,16,15625,medium,Mid-capacity
Opel,Astra,2011,Universal,176000,1300,Diesel,Manual,6000,11,16000,medium,Low-capacity
Renault,Grand Scenic,2014,Universal,167000,1500,Diesel,Automatic,8600,8,20875,high,Low-capacity
BMW,7 Series,2011,Sedan,180000,2999,Diesel,Automatic,22000,11,16363,medium,Mid-capacity
Peugeot,807,2006,Minivan,170000,2000,Diesel,Automatic,2000,16,10625,medium,Mid-capacity
Honda,CR-V,2013,SUV,178500,2200,Diesel,Manual,15700,9,19833,high,Mid-capacity
Skoda,Superb,2012,Sedan,265000,1800,Petrol,Automatic,8999,10,26500,high,Mid-capacity
Mercedes,E Class,2002,Sedan,331200,2200,Diesel,Automatic,6399,20,16560,medium,Mid-capacity
Skoda,Superb,2017,Sedan,120000,1999,Petrol,Automatic,23900,5,24000,high,Mid-capacity
Volkswagen,Jetta,2013,Sedan,110000,1400,Hybrid,Automatic,8000,9,12222,medium,Low-capacity
Hyundai,ix35,2010,Pickup,190000,2000,Diesel,Automatic,12000,12,15833,medium,Mid-capacity
Toyota,Prius c,2014,Hatchback,144947,1496,Hybrid,Automatic,7499,8,18118,medium,Low-capacity
Renault,Grand Scenic,2012,Universal,180000,1500,Diesel,Manual,7499,10,18000,medium,Low-capacity
BMW,X5,2012,SUV,157000,3000,Petrol,Automatic,17499,10,15700,medium,Mid-capacity
Renault,Talisman,2016,Sedan,151130,1500,Diesel,Manual,12499,6,25188,high,Low-capacity
Renault,Megane,2006,Universal,170000,2000,Metan/Propan,Manual,2900,16,10625,medium,Mid-capacity
Nissan,Juke,2011,SUV,155000,1600,Petrol,Automatic,9300,11,14090,medium,Low-capacity
Subaru,Trezia,2011,Hatchback,116000,1400,Diesel,Automatic,7300,11,10545,medium,Low-capacity
Dacia,Logan,2007,Sedan,185000,1500,Diesel,Manual,3400,15,12333,medium,Low-capacity
Nissan,X-Trail,2015,SUV,124000,1600,Diesel,Automatic,13000,7,17714,medium,Low-capacity
Mercedes,C Class,2015,Universal,222000,2000,Plug-in Hybrid,Automatic,17500,7,31714,high,Mid-capacity
Toyota,Rav 4,2016,Crossover,133494,2494,Hybrid,Automatic,21500,6,22249,high,Mid-capacity
Mercedes,S Class,2001,Sedan,250830,4000,Diesel,Automatic,4700,21,11944,medium,Large-capacity
Cheap_rare,on-DO,2016,Sedan,150000,1596,Metan/Propan,Manual,3200,6,25000,high,Low-capacity
Seat,Ibiza,2011,Universal,190000,1200,Diesel,Manual,5100,11,17272,medium,Low-capacity
Nissan,Juke,2012,Crossover,124000,1600,Petrol,Automatic,9999,10,12400,medium,Low-capacity
Audi,A4,1997,Sedan,300000,1800,Metan/Propan,Automatic,2700,25,12000,medium,Mid-capacity
Opel,Astra,2012,Universal,200000,1300,Diesel,Manual,6000,10,20000,high,Low-capacity
Citroen,C5,2006,Universal,240000,1600,Diesel,Manual,2700,16,15000,medium,Low-capacity
Mercedes,C Class,2015,Sedan,75000,2000,Petrol,Automatic,19000,7,10714,medium,Mid-capacity
Ford,Fiesta 5D,2011,Hatchback,130000,1400,Metan/Propan,Manual,4700,11,11818,medium,Low-capacity
Volvo,XC90,2015,SUV,180000,2000,Petrol,Automatic,26500,7,25714,high,Mid-capacity
Renault,Megane,2014,Universal,210000,1500,Diesel,Manual,7199,8,26250,high,Low-capacity
BMW,5 Series,2017,Sedan,77000,2000,Diesel,Automatic,33000,5,15400,medium,Mid-capacity
Hyundai,Santa FE,2012,SUV,180000,2200,Diesel,Automatic,16750,10,18000,medium,Mid-capacity
Skoda,Superb,2012,Sedan,196000,1600,Diesel,Manual,9950,10,19600,high,Low-capacity
Volvo,XC90,2015,SUV,180000,2000,Petrol,Automatic,26500,7,25714,high,Mid-capacity
Renault,Megane,2014,Universal,210000,1500,Diesel,Manual,7199,8,26250,high,Low-capacity
BMW,X3,2015,Crossover,159000,1996,Diesel,Automatic,20500,7,22714,high,Mid-capacity
Nissan,Note,2013,Hatchback,172000,1461,Diesel,Manual,6299,9,19111,high,Low-capacity
Toyota,Rav 4,2019,Crossover,19000,2500,Hybrid,Automatic,30000,3,6333,low,Mid-capacity
Volvo,XC90,2015,SUV,155000,1996,Petrol,Automatic,27800,7,22142,high,Mid-capacity
Lexus,CT Series,2016,Hatchback,64000,1798,Hybrid,Automatic,16000,6,10666,medium,Low-capacity
Renault,Grand Modus,2011,Hatchback,174000,1461,Diesel,Manual,4550,11,15818,medium,Low-capacity
Toyota,Auris,2010,Hatchback,187000,1400,Diesel,Manual,6500,12,15583,medium,Low-capacity
Toyota,Auris,2007,Hatchback,235000,1500,Diesel,Manual,5400,15,15666,medium,Low-capacity
BMW,7 Series,2017,Sedan,92000,2993,Diesel,Automatic,45000,5,18400,medium,Mid-capacity
Volkswagen,Caddy,2014,Minivan,180000,1600,Diesel,Manual,5800,8,22500,high,Low-capacity
Opel,Corsa,2011,Hatchback,125000,1300,Diesel,Manual,3750,11,11363,medium,Low-capacity
Honda,CR-V,2013,Crossover,192000,2200,Diesel,Automatic,17500,9,21333,high,Mid-capacity
Mitsubishi,Space Wagon,1995,Minivan,300000,2000,Metan/Propan,Manual,2500,27,11111,medium,Mid-capacity
Volkswagen,Polo,2007,Hatchback,240000,1400,Diesel,Manual,3750,15,16000,medium,Low-capacity
Hyundai,Santa FE,2015,Crossover,161000,2000,Diesel,Automatic,18000,7,23000,high,Mid-capacity
Mazda,6,2014,Sedan,230000,2200,Diesel,Automatic,13000,8,28750,high,Mid-capacity
Volkswagen,Caddy,2015,Microvan,152000,1600,Diesel,Manual,10300,7,21714,high,Low-capacity
